"Date","Google","bing","Yahoo!","Baidu","YANDEX","DuckDuckGo","YANDEX RU","Sogou","Naver","Ecosia","Haosou","Seznam","Shenma","MSN","Qwant","CocCoc","Daum","Mail.ru","Other"
2020-05,92.06,2.61,1.79,1.16,0.56,0.47,0.52,0.28,0.14,0.14,0.06,0.04,0.04,0.03,0.02,0.02,0.01,0.02,0.04
2020-06,91.75,2.75,1.7,1.02,0.92,0.49,0.47,0.33,0.15,0.12,0.05,0.05,0.04,0.05,0.02,0.02,0.01,0.02,0.04
2020-07,92.17,2.78,1.6,0.92,0.85,0.5,0.44,0.22,0.1,0.11,0.05,0.04,0.04,0.06,0.02,0.02,0.01,0.02,0.04
2020-08,92.05,2.83,1.65,0.98,0.76,0.53,0.42,0.23,0.16,0.11,0.05,0.04,0.03,0.04,0.02,0.03,0.02,0.01,0.04
2020-09,92.27,2.83,1.58,1.14,0.5,0.5,0.43,0.2,0.17,0.11,0.05,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03
2020-10,92.71,2.73,1.47,1.08,0.41,0.49,0.44,0.16,0.13,0.12,0.04,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.03
2020-11,92.16,2.88,1.52,1.14,0.51,0.61,0.43,0.21,0.13,0.14,0.04,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.03
2020-12,91.38,2.69,1.46,1.36,1,0.6,0.46,0.49,0.18,0.13,0.04,0.02,0.04,0.03,0.03,0.02,0.03,0.01,0.03
2021-01,91.86,2.71,1.46,1.13,0.87,0.66,0.44,0.35,0.15,0.13,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.03
2021-02,92.05,2.69,1.47,1.33,0.65,0.64,0.46,0.23,0.11,0.13,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.03
2021-03,92.4,2.45,1.48,1.31,0.55,0.59,0.47,0.26,0.12,0.13,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.03
2021-04,92.26,2.29,1.52,1.47,0.57,0.58,0.45,0.41,0.11,0.13,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.01,0.03
2021-05,92.2,2.27,1.5,1.45,0.68,0.59,0.44,0.39,0.12,0.13,0.03,0.04,0.03,0.02,0.03,0.03,0.01,0.01,0.03
